"Name","Author","Year","Price","User_Rating","Reviews","Genre"
"Catching Fire (The Hunger Games)","Suzanne Collins","2011","11","4.7","22614","Fiction"
"Catching Fire (The Hunger Games)","Suzanne Collins","2012","11","4.7","22614","Fiction"
"Cravings: Recipes for All the Food You Want to Eat: A Cookbook","Chrissy Teigen","2016","16","4.7","4761","Non Fiction"
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan","2009","14","4.7","1542","Non Fiction"
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan","2010","14","4.7","1542","Non Fiction"
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan","2011","14","4.7","1542","Non Fiction"
"Crazy Rich Asians (Crazy Rich Asians Trilogy)","Kevin Kwan","2018","8","4.3","6143","Fiction"
"Creative Haven Creative Cats Coloring Book (Adult Coloring)","Marjorie Sarnat","2015","4","4.8","4022","Non Fiction"
"Creative Haven Owls Coloring Book (Adult Coloring)","Marjorie Sarnat","2015","5","4.8","3871","Non Fiction"
"Cutting for Stone","Abraham Verghese","2010","11","4.6","4866","Fiction"
"Cutting for Stone","Abraham Verghese","2011","11","4.6","4866","Fiction"
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","Brené Brown","2013","10","4.8","1329","Non Fiction"
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants","Malcolm Gladwell","2013","13","4.4","4642","Non Fiction"
"Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood)","Charlaine Harris","2009","4","4.6","1541","Fiction"
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)","Charlaine Harris","2010","8","4.3","1924","Fiction"
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)","Charlaine Harris","2011","4","4.2","2094","Fiction"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","2015","5","4.8","10922","Fiction"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","2016","5","4.8","10922","Fiction"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","2017","5","4.8","10922","Fiction"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","2018","5","4.8","10922","Fiction"
"Decision Points","George W. Bush","2010","17","4.6","2137","Non Fiction"
"Delivering Happiness: A Path to Profits, Passion, and Purpose","Tony Hsieh","2010","15","4.6","1651","Non Fiction"
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","American Psychiatric Association","2013","105","4.5","6679","Non Fiction"
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","American Psychiatric Association","2014","105","4.5","6679","Non Fiction"
"Diary of a Wimpy Kid: Hard Luck, Book 8","Jeff Kinney","2013","0","4.8","6812","Fiction"
"Diary of a Wimpy Kid: The Last Straw (Book 3)","Jeff Kinney","2009","15","4.8","3837","Fiction"
"Diary of a Wimpy Kid: The Long Haul","Jeff Kinney","2014","22","4.8","6540","Fiction"
"Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids)","M Prefontaine","2019","5","4.6","7955","Non Fiction"
"Divergent","Veronica Roth","2013","15","4.6","27098","Fiction"
"Divergent","Veronica Roth","2014","15","4.6","27098","Fiction"
"Divergent / Insurgent","Veronica Roth","2014","6","4.5","17684","Fiction"
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…","Zhi Gang Sha","2009","6","4.6","37","Non Fiction"
"Doctor Sleep: A Novel","Stephen King","2013","13","4.7","15845","Fiction"
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)","Jeff Kinney","2009","12","4.8","3181","Fiction"
"Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4)","Dav Pilkey","2018","6","4.9","5062","Fiction"
"Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3)","Dav Pilkey","2017","8","4.9","4786","Fiction"
"Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6)","Dav Pilkey","2018","4","4.9","7235","Fiction"
"Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6)","Dav Pilkey","2019","4","4.9","7235","Fiction"
"Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8)","Dav Pilkey","2019","8","4.9","12619","Fiction"
"Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7)","Dav Pilkey","2019","8","4.9","9089","Fiction"
"Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5)","Dav Pilkey","2018","6","4.9","5470","Fiction"
"Double Down (Diary of a Wimpy Kid #11)","Jeff Kinney","2016","20","4.8","5118","Fiction"
"Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books)","Marty Noble","2015","5","4.6","2134","Non Fiction"
"Drive: The Surprising Truth About What Motivates Us","Daniel H. Pink","2010","16","4.5","2525","Non Fiction"
"Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution","David Zinczenko","2009","1","4.5","720","Non Fiction"
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!","David Zinczenko","2009","14","4.3","956","Non Fiction"
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition","Joel Fuhrman MD","2011","9","4.5","6346","Non Fiction"
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition","Joel Fuhrman MD","2012","9","4.5","6346","Non Fiction"
"Eclipse (Twilight Sagas)","Stephenie Meyer","2009","7","4.7","5505","Fiction"
"Eclipse (Twilight)","Stephenie Meyer","2009","18","4.7","5505","Fiction"
"Educated: A Memoir","Tara Westover","2018","15","4.7","28729","Non Fiction"
"Educated: A Memoir","Tara Westover","2019","15","4.7","28729","Non Fiction"
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…","Johanna Basford","2015","9","4.7","5413","Non Fiction"
"Fahrenheit 451","Ray Bradbury","2016","8","4.6","10721","Fiction"
"Fahrenheit 451","Ray Bradbury","2018","8","4.6","10721","Fiction"
"Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter)","J.K. Rowling","2016","15","4.7","4370","Fiction"
"Fear: Trump in the White House","Bob Woodward","2018","2","4.4","6042","Non Fiction"
"Fifty Shades Darker","E L James","2012","7","4.4","23631","Fiction"
"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition)","E L James","2012","11","4.5","20262","Fiction"
"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)","E L James","2012","14","3.8","47265","Fiction"
"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)","E L James","2013","14","3.8","47265","Fiction"
"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)","E L James","2012","32","4.5","13964","Fiction"
"Fire and Fury: Inside the Trump White House","Michael Wolff","2018","6","4.2","13677","Non Fiction"
"First 100 Words","Roger Priddy","2014","4","4.7","17323","Non Fiction"
"First 100 Words","Roger Priddy","2015","4","4.7","17323","Non Fiction"
"First 100 Words","Roger Priddy","2016","4","4.7","17323","Non Fiction"
"First 100 Words","Roger Priddy","2017","4","4.7","17323","Non Fiction"
"First 100 Words","Roger Priddy","2018","4","4.7","17323","Non Fiction"
"Food Rules: An Eater's Manual","Michael Pollan","2010","9","4.4","1555","Non Fiction"
"Frozen (Little Golden Book)","RH Disney","2014","0","4.7","3642","Fiction"
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime","John Heilemann","2010","9","4.4","1215","Non Fiction"
"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin","2011","5","4.6","5594","Fiction"
"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin","2012","5","4.6","5594","Fiction"
"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin","2013","5","4.6","5594","Fiction"
"George Washington's Sacred Fire","Peter A. Lillback","2010","20","4.5","408","Non Fiction"
"George Washington's Secret Six: The Spy Ring That Saved the American Revolution","Brian Kilmeade","2013","16","4.6","4799","Non Fiction"
"Giraffes Can't Dance","Giles Andreae","2015","4","4.8","14038","Fiction"
"Giraffes Can't Dance","Giles Andreae","2016","4","4.8","14038","Fiction"
"Giraffes Can't Dance","Giles Andreae","2017","4","4.8","14038","Fiction"
"Giraffes Can't Dance","Giles Andreae","2018","4","4.8","14038","Fiction"
"Giraffes Can't Dance","Giles Andreae","2019","4","4.8","14038","Fiction"
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals","Rachel Hollis","2019","12","4.6","7660","Non Fiction"
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","Rachel Hollis","2018","12","4.6","22288","Non Fiction"
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","Rachel Hollis","2019","12","4.6","22288","Non Fiction"
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","Glenn Beck","2009","11","4.6","1365","Non Fiction"
"Go Set a Watchman: A Novel","Harper Lee","2015","19","3.6","14982","Fiction"
"Go the F**k to Sleep","Adam Mansbach","2011","9","4.8","9568","Fiction"
"Going Rogue: An American Life","Sarah Palin","2009","6","4.6","1636","Non Fiction"
"Gone Girl","Gillian Flynn","2012","10","4","57271","Fiction"
"Gone Girl","Gillian Flynn","2013","10","4","57271","Fiction"
"Gone Girl","Gillian Flynn","2014","9","4","57271","Fiction"
"Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal","Pretty Simple Press","2019","6","4.6","10141","Non Fiction"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","2009","14","4.5","3457","Non Fiction"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","2010","14","4.5","3457","Non Fiction"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","2011","14","4.5","3457","Non Fiction"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","2012","14","4.5","3457","Non Fiction"
"Goodnight Moon","Margaret Wise Brown","2017","5","4.8","8837","Fiction"
"Goodnight Moon","Margaret Wise Brown","2018","5","4.8","8837","Fiction"
"Goodnight Moon","Margaret Wise Brown","2019","5","4.8","8837","Fiction"
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","Sherri Duskey Rinker","2012","7","4.9","7038","Fiction"
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","Sherri Duskey Rinker","2013","7","4.9","7038","Fiction"
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers","David Perlmutter MD","2014","10","4.6","5972","Non Fiction"
"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series)","E L James","2015","14","4.4","25624","Fiction"
"Guts","Raina Telgemeier","2019","7","4.8","5476","Non Fiction"
"Hamilton: The Revolution","Lin-Manuel Miranda","2016","54","4.9","5867","Non Fiction"
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander","Phil Robertson","2013","11","4.8","4148","Non Fiction"
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)","J.K. Rowling","2016","30","4.9","19622","Fiction"
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script","J.K. Rowling","2016","12","4","23973","Fiction"
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)","J. K. Rowling","2019","18","4.9","7758","Fiction"
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)","J.K. Rowling","2017","30","4.9","3146","Fiction"
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)","J.K. Rowling","2016","22","4.9","10052","Fiction"
"Harry Potter Coloring Book","Scholastic","2015","9","4.7","3564","Non Fiction"
"Harry Potter Paperback Box Set (Books 1-7)","J. K. Rowling","2016","52","4.8","13471","Fiction"
"Have a Little Faith: A True Story","Mitch Albom","2009","4","4.8","1930","Non Fiction"
"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo","2011","10","4.7","15779","Non Fiction"
"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo","2012","10","4.7","15779","Non Fiction"
"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","J. D. Vance","2016","14","4.4","15526","Non Fiction"
"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","J. D. Vance","2017","14","4.4","15526","Non Fiction"
"Homebody: A Guide to Creating Spaces You Never Want to Leave","Joanna Gaines","2018","22","4.8","3776","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","2014","11","4.7","25001","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","2015","11","4.7","25001","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","2016","11","4.7","25001","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","2017","11","4.7","25001","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","2018","11","4.7","25001","Non Fiction"
"Howard Stern Comes Again","Howard Stern","2019","16","4.3","5272","Non Fiction"
"Humans of New York","Brandon Stanton","2013","15","4.8","3490","Non Fiction"
"Humans of New York","Brandon Stanton","2014","15","4.8","3490","Non Fiction"
"Humans of New York : Stories","Brandon Stanton","2015","17","4.9","2812","Non Fiction"
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened","Allie Brosh","2013","17","4.7","4896","Non Fiction"
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls","Hopscotch Girls","2019","7","4.8","9737","Non Fiction"
"I, Alex Cross","James Patterson","2009","7","4.6","1320","Fiction"
"If Animals Kissed Good Night","Ann Whitford Paul","2017","4","4.8","16643","Fiction"
"If Animals Kissed Good Night","Ann Whitford Paul","2019","4","4.8","16643","Fiction"
"If I Stay","Gayle Forman","2014","9","4.3","7153","Fiction"
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin","Eric Larson","2011","21","4.4","4571","Non Fiction"
"Inferno","Dan Brown","2013","14","4.1","29651","Fiction"
"Inheritance: Book IV (Inheritance Cycle)","Christopher Paolini","2011","20","4.6","5299","Fiction"
"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…","Jennifer Smith","2018","13","4.4","7396","Non Fiction"
"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…","Jennifer Smith","2019","13","4.4","7396","Non Fiction"
"It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered","Lysa TerKeurst","2019","12","4.8","7062","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","2011","8","4.9","19576","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","2012","8","4.9","19576","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","2013","8","4.9","19576","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","2014","8","4.9","19576","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","2015","8","4.9","19576","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","2016","8","4.9","19576","Non Fiction"
"JOURNEY TO THE ICE P","RH Disney","2014","0","4.6","978","Fiction"
"Joyland (Hard Case Crime)","Stephen King","2013","12","4.5","4748","Fiction"
"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","David Grann","2017","17","4.6","8393","Non Fiction"
"Killing Jesus (Bill O'Reilly's Killing Series)","Bill O'Reilly","2013","12","4.5","11391","Non Fiction"
"Killing Kennedy: The End of Camelot","Bill O'Reilly","2012","25","4.6","8634","Non Fiction"
"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)","Bill O'Reilly","2011","10","4.7","9342","Non Fiction"
"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)","Bill O'Reilly","2012","10","4.7","9342","Non Fiction"
"Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series)","Bill O'Reilly","2014","6","4.6","10927","Non Fiction"
"Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series)","Bill O'Reilly","2015","5","4.6","5235","Non Fiction"
"Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series)","Bill O'Reilly","2016","6","4.8","8916","Non Fiction"
"Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.)","Anthony Bourdain","2018","8","4.8","2507","Non Fiction"
"Knock-Knock Jokes for Kids","Rob Elliott","2013","4","4.5","3673","Non Fiction"
"Knock-Knock Jokes for Kids","Rob Elliott","2014","4","4.5","3673","Non Fiction"
"Knock-Knock Jokes for Kids","Rob Elliott","2015","4","4.5","3673","Non Fiction"
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)","Jill Twiss","2018","13","4.9","11881","Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","2013","4","4.6","6990","Non Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","2014","4","4.6","6990","Non Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","2015","4","4.6","6990","Non Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","2016","4","4.6","6990","Non Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","2017","4","4.6","6990","Non Fiction"
"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg","2013","13","4.5","6132","Non Fiction"
"Leonardo da Vinci","Walter Isaacson","2017","21","4.5","3014","Non Fiction"
"Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering","Paper Peony Press","2018","6","4.4","7550","Non Fiction"
"Liberty and Tyranny: A Conservative Manifesto","Mark R. Levin","2009","15","4.8","3828","Non Fiction"
"Life","Keith Richards","2010","18","4.5","2752","Non Fiction"
"Little Bee: A Novel","Chris Cleave","2010","10","4.1","1467","Fiction"
"Little Blue Truck","Alice Schertle","2014","0","4.9","1884","Fiction"
"Little Fires Everywhere","Celeste Ng","2018","12","4.5","25706","Fiction"
"Looking for Alaska","John Green","2014","7","4.5","8491","Fiction"
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived","Rob Bell","2011","13","4.2","1649","Non Fiction"
"Love You Forever","Robert Munsch","2014","5","4.8","18613","Fiction"
"Love You Forever","Robert Munsch","2015","5","4.8","18613","Fiction"
"Magnolia Table: A Collection of Recipes for Gathering","Joanna Gaines","2018","16","4.8","9867","Non Fiction"
"Make It Ahead: A Barefoot Contessa Cookbook","Ina Garten","2014","20","4.5","1386","Non Fiction"
"Make Your Bed: Little Things That Can Change Your Life...And Maybe the World","Admiral William H. McRaven","2017","11","4.7","10199","Non Fiction"
"Mastering the Art of French Cooking, Vol. 2","Julia Child","2009","27","4.8","2926","Non Fiction"
"Milk and Honey","Rupi Kaur","2016","8","4.7","17739","Non Fiction"
"Milk and Honey","Rupi Kaur","2017","8","4.7","17739","Non Fiction"
"Milk and Honey","Rupi Kaur","2018","8","4.7","17739","Non Fiction"
"Milk and Vine: Inspirational Quotes From Classic Vines","Adam Gasiewski","2017","6","4.4","3113","Non Fiction"
"Mindset: The New Psychology of Success","Carol S. Dweck","2014","10","4.6","5542","Non Fiction"
"Mindset: The New Psychology of Success","Carol S. Dweck","2015","10","4.6","5542","Non Fiction"
"Mindset: The New Psychology of Success","Carol S. Dweck","2016","10","4.6","5542","Non Fiction"
"Mockingjay (The Hunger Games)","Suzanne Collins","2010","8","4.5","26741","Fiction"
"Mockingjay (The Hunger Games)","Suzanne Collins","2011","8","4.5","26741","Fiction"
"Mockingjay (The Hunger Games)","Suzanne Collins","2012","8","4.5","26741","Fiction"
"National Geographic Kids Why?: Over 1,111 Answers to Everything","Crispin Boyer","2019","16","4.8","5347","Non Fiction"
"National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books)","Amy Shields","2019","11","4.8","7866","Non Fiction"
"New Moon (The Twilight Saga)","Stephenie Meyer","2009","10","4.6","5680","Fiction"
"Night (Night)","Elie Wiesel","2016","9","4.7","5178","Non Fiction"
"No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden","Mark Owen","2012","14","4.6","8093","Non Fiction"
"Obama: An Intimate Portrait","Pete Souza","2017","22","4.9","3192","Non Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","2012","8","4.9","21834","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","2013","8","4.9","21834","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","2014","8","4.9","21834","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","2015","8","4.9","21834","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","2016","8","4.9","21834","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","2017","8","4.9","21834","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","2018","8","4.9","21834","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","2019","8","4.9","21834","Fiction"
"Old School (Diary of a Wimpy Kid #10)","Jeff Kinney","2015","7","4.8","6169","Fiction"
"Olive Kitteridge","Elizabeth Strout","2009","12","4.2","4519","Fiction"
"One Thousand Gifts: A Dare to Live Fully Right Where You Are","Ann Voskamp","2011","13","4.6","3163","Non Fiction"
"One Thousand Gifts: A Dare to Live Fully Right Where You Are","Ann Voskamp","2012","13","4.6","3163","Non Fiction"
"Option B: Facing Adversity, Building Resilience, and Finding Joy","Sheryl Sandberg","2017","9","4.5","1831","Non Fiction"
"Origin: A Novel (Robert Langdon)","Dan Brown","2017","13","4.3","18904","Fiction"
"Orphan Train","Christina Baker Kline","2014","11","4.6","21930","Fiction"
"Outliers: The Story of Success","Malcolm Gladwell","2009","20","4.6","10426","Non Fiction"
"Outliers: The Story of Success","Malcolm Gladwell","2010","20","4.6","10426","Non Fiction"
"P is for Potty! (Sesame Street) (Lift-the-Flap)","Naomi Kleinberg","2018","5","4.7","10820","Non Fiction"
"P is for Potty! (Sesame Street) (Lift-the-Flap)","Naomi Kleinberg","2019","5","4.7","10820","Non Fiction"
"Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3)","Rick Riordan","2010","2","4.8","548","Fiction"
"Player's Handbook (Dungeons & Dragons)","Wizards RPG Team","2017","27","4.8","16990","Fiction"
